text,activation,valence,quadrant
I am ready to hug everyone from enthusiasm,alta,positiva,alta_positiva
my heart is racing with excitement today,alta,positiva,alta_positiva
I have boundless energy just because,alta,positiva,alta_positiva
I swear that I feel electricity running through my veins,alta,positiva,alta_positiva
I am ready to laugh out loud out of joy,alta,positiva,alta_positiva
I can't wait to dance from enthusiasm,alta,positiva,alta_positiva
honestly I'm absolutely buzzing,alta,positiva,alta_positiva
the truth is I'm on cloud nine,alta,positiva,alta_positiva
I'm so pumped to hug everyone with happiness,alta,positiva,alta_positiva
I am ready to laugh out loud from excitement,alta,positiva,alta_positiva
I feel like hug everyone from enthusiasm,alta,positiva,alta_positiva
I'm so pumped to dance out of joy,alta,positiva,alta_positiva
I feel electricity running through my veins at this moment,alta,positiva,alta_positiva
I'm on cloud nine absolutely,alta,positiva,alta_positiva
I want to laugh out loud out of joy,alta,positiva,alta_positiva
I can't wait to celebrate out of joy,alta,positiva,alta_positiva
I am ready to scream with happiness,alta,positiva,alta_positiva
I feel like hug everyone with happiness,alta,positiva,alta_positiva
I am ready to hug everyone out of joy,alta,positiva,alta_positiva
I'm so pumped to laugh out loud from excitement,alta,positiva,alta_positiva
lately I have boundless energy,alta,positiva,alta_positiva
I feel like run with happiness,alta,positiva,alta_positiva
I feel like celebrate from enthusiasm,alta,positiva,alta_positiva
I can't wait to run from excitement,alta,positiva,alta_positiva
I can't wait to hug everyone from enthusiasm,alta,positiva,alta_positiva
I swear that I'm super motivated,alta,positiva,alta_positiva
I can't wait to hug everyone out of joy,alta,positiva,alta_positiva
the truth is I feel on top of the world,alta,positiva,alta_positiva
I feel like hug everyone out of joy,alta,positiva,alta_positiva
my heart is racing with excitement right now,alta,positiva,alta_positiva
I can't wait to run from enthusiasm,alta,positiva,alta_positiva
I feel like scream from enthusiasm,alta,positiva,alta_positiva
I'm so pumped to celebrate out of joy,alta,positiva,alta_positiva
literally I'm sweating all over,alta,negativa,alta_negativa
I have about to explode from stress,alta,negativa,alta_negativa
I feel my fists clenched from panic,alta,negativa,alta_negativa
I feel like on edge from rage,alta,negativa,alta_negativa
lately I can't stop thinking about it,alta,negativa,alta_negativa
I feel about to explode from panic,alta,negativa,alta_negativa
I am I'm suffocating from stress,alta,negativa,alta_negativa
I feel like my fists clenched from panic,alta,negativa,alta_negativa
I feel about to explode from anger,alta,negativa,alta_negativa
I have I'm suffocating from panic,alta,negativa,alta_negativa
I'm sweating all over at this moment,alta,negativa,alta_negativa
lately my head is a whirlwind of thoughts,alta,negativa,alta_negativa
I swear that I can't take this stress anymore,alta,negativa,alta_negativa
my head is a whirlwind of thoughts at this moment,alta,negativa,alta_negativa
I feel like I'm having a panic attack at this moment,alta,negativa,alta_negativa
my heart is pounding out of my chest right now,alta,negativa,alta_negativa
I feel like on edge from anxiety,alta,negativa,alta_negativa
I am on edge from rage,alta,negativa,alta_negativa
I can't stop thinking about it right now,alta,negativa,alta_negativa
I feel like I'm suffocating from anger,alta,negativa,alta_negativa
honestly I feel a lump in my throat,alta,negativa,alta_negativa
I have I'm suffocating from stress,alta,negativa,alta_negativa
I am my blood boiling from anger,alta,negativa,alta_negativa
I am I'm suffocating from rage,alta,negativa,alta_negativa
I have about to explode from rage,alta,negativa,alta_negativa
I am on edge from panic,alta,negativa,alta_negativa
I swear that my blood is boiling,alta,negativa,alta_negativa
the truth is I'm about to snap,alta,negativa,alta_negativa
honestly I'm fuming,alta,negativa,alta_negativa
I feel like my fists clenched from rage,alta,negativa,alta_negativa
the truth is I feel a lump in my throat,alta,negativa,alta_negativa
I feel like I'm suffocating from stress,alta,negativa,alta_negativa
I have on edge from anger,alta,negativa,alta_negativa
literally I can't take this stress anymore,alta,negativa,alta_negativa
I feel about to explode from anxiety,alta,negativa,alta_negativa
I feel on edge from anxiety,alta,negativa,alta_negativa
I can't take this stress anymore completely,alta,negativa,alta_negativa
the truth is I can't stop thinking about it,alta,negativa,alta_negativa
I can't stop thinking about it at this moment,alta,negativa,alta_negativa
I have my blood boiling from anxiety,alta,negativa,alta_negativa
I feel like my fists clenched from anxiety,alta,negativa,alta_negativa
I feel like my blood boiling from rage,alta,negativa,alta_negativa
literally I'm losing my mind,alta,negativa,alta_negativa
I have I'm suffocating from anger,alta,negativa,alta_negativa
I am on edge from anxiety,alta,negativa,alta_negativa
I feel like on edge from panic,alta,negativa,alta_negativa
I have about to explode from panic,alta,negativa,alta_negativa
literally I feel a lump in my throat,alta,negativa,alta_negativa
I have my fists clenched from anger,alta,negativa,alta_negativa
I'm fuming completely,alta,negativa,alta_negativa
I feel like about to explode from panic,alta,negativa,alta_negativa
my head is a whirlwind of thoughts today,alta,negativa,alta_negativa
I am about to explode from anger,alta,negativa,alta_negativa
I feel on edge from anger,alta,negativa,alta_negativa
I can't stop thinking about it just because,alta,negativa,alta_negativa
I am on edge from anger,alta,negativa,alta_negativa
I can't stop thinking about it,alta,negativa,alta_negativa
literally I'm about to snap,alta,negativa,alta_negativa
I can't stop thinking about it today,alta,negativa,alta_negativa
I feel like I'm suffocating from panic,alta,negativa,alta_negativa
my heart is pounding out of my chest today,alta,negativa,alta_negativa
I feel on edge from rage,alta,negativa,alta_negativa
I swear that I can't stop thinking about it,alta,negativa,alta_negativa
my heart is pounding out of my chest,alta,negativa,alta_negativa
I feel my blood boiling from panic,alta,negativa,alta_negativa
I am my blood boiling from panic,alta,negativa,alta_negativa
I can't take this stress anymore really,alta,negativa,alta_negativa
I feel like about to explode from rage,alta,negativa,alta_negativa
I feel a lump in my throat just because,alta,negativa,alta_negativa
lately I feel a lump in my throat,alta,negativa,alta_negativa
I can't take this stress anymore absolutely,alta,negativa,alta_negativa
I feel like about to explode from stress,alta,negativa,alta_negativa
literally my head is a whirlwind of thoughts,alta,negativa,alta_negativa
I have my fists clenched from anxiety,alta,negativa,alta_negativa
my blood is boiling absolutely,alta,negativa,alta_negativa
I feel like I'm having a panic attack,alta,negativa,alta_negativa
I have my blood boiling from anger,alta,negativa,alta_negativa
I swear that I'm sweating all over,alta,negativa,alta_negativa
I am my fists clenched from stress,alta,negativa,alta_negativa
I am I'm suffocating from anger,alta,negativa,alta_negativa
I feel like my blood boiling from anxiety,alta,negativa,alta_negativa
I feel my fists clenched from stress,alta,negativa,alta_negativa
literally my blood is boiling,alta,negativa,alta_negativa
I have on edge from panic,alta,negativa,alta_negativa
I feel like my fists clenched from stress,alta,negativa,alta_negativa
lately I'm losing my mind,alta,negativa,alta_negativa
my heart is pounding out of my chest at this moment,alta,negativa,alta_negativa
I swear that I'm fuming,alta,negativa,alta_negativa
I feel my fists clenched from anger,alta,negativa,alta_negativa
I have about to explode from anxiety,alta,negativa,alta_negativa
I swear that my heart is pounding out of my chest,alta,negativa,alta_negativa
I am my fists clenched from anxiety,alta,negativa,alta_negativa
I am my fists clenched from panic,alta,negativa,alta_negativa
I feel my fists clenched from anxiety,alta,negativa,alta_negativa
I feel I'm suffocating from anger,alta,negativa,alta_negativa
I swear that I'm about to snap,alta,negativa,alta_negativa
I'm losing my mind absolutely,alta,negativa,alta_negativa
I swear that I'm losing my mind,alta,negativa,alta_negativa
I'm losing my mind really,alta,negativa,alta_negativa
I feel my fists clenched from rage,alta,negativa,alta_negativa
I have I'm suffocating from rage,alta,negativa,alta_negativa
my blood is boiling completely,alta,negativa,alta_negativa
I am I'm suffocating from anxiety,alta,negativa,alta_negativa
I feel my blood boiling from rage,alta,negativa,alta_negativa
I have my blood boiling from stress,alta,negativa,alta_negativa
I am my fists clenched from anger,alta,negativa,alta_negativa
I feel a lump in my throat,alta,negativa,alta_negativa
I feel a lump in my throat right now,alta,negativa,alta_negativa
I feel like about to explode from anxiety,alta,negativa,alta_negativa
I'm sweating all over,alta,negativa,alta_negativa
the truth is I'm fuming,alta,negativa,alta_negativa
I feel like about to explode from anger,alta,negativa,alta_negativa
I feel I'm suffocating from anxiety,alta,negativa,alta_negativa
I am my fists clenched from rage,alta,negativa,alta_negativa
lately I'm sweating all over,alta,negativa,alta_negativa
my blood is boiling,alta,negativa,alta_negativa
I am I'm suffocating from panic,alta,negativa,alta_negativa
I feel like I'm suffocating from rage,alta,negativa,alta_negativa
I'm sweating all over just because,alta,negativa,alta_negativa
I swear that I feel a lump in my throat,alta,negativa,alta_negativa
literally my heart is pounding out of my chest,alta,negativa,alta_negativa
I am my blood boiling from rage,alta,negativa,alta_negativa
I swear that my head is a whirlwind of thoughts,alta,negativa,alta_negativa
I'm about to snap really,alta,negativa,alta_negativa
I feel like my blood boiling from anger,alta,negativa,alta_negativa
I feel a lump in my throat at this moment,alta,negativa,alta_negativa
I'm fuming,alta,negativa,alta_negativa
I feel my blood boiling from stress,alta,negativa,alta_negativa
I have about to explode from anger,alta,negativa,alta_negativa
I feel like I'm having a panic attack today,alta,negativa,alta_negativa
I feel I'm suffocating from panic,alta,negativa,alta_negativa
honestly my blood is boiling,alta,negativa,alta_negativa
lately I'm fuming,alta,negativa,alta_negativa
I feel like my fists clenched from anger,alta,negativa,alta_negativa
I feel on edge from panic,alta,negativa,alta_negativa
I'm losing my mind,alta,negativa,alta_negativa
I am about to explode from stress,alta,negativa,alta_negativa
I am about to explode from panic,alta,negativa,alta_negativa
lately I feel like I'm having a panic attack,alta,negativa,alta_negativa
literally I feel like I'm having a panic attack,alta,negativa,alta_negativa
I feel like my blood boiling from stress,alta,negativa,alta_negativa
I feel like on edge from stress,alta,negativa,alta_negativa
I feel my blood boiling from anxiety,alta,negativa,alta_negativa
the truth is my head is a whirlwind of thoughts,alta,negativa,alta_negativa
I have my blood boiling from panic,alta,negativa,alta_negativa
I am my blood boiling from anxiety,alta,negativa,alta_negativa
lately I'm about to snap,alta,negativa,alta_negativa
I'm losing my mind completely,alta,negativa,alta_negativa
I'm about to snap completely,alta,negativa,alta_negativa
honestly I'm sweating all over,alta,negativa,alta_negativa
I have down in the dumps and I want to cry,baja,negativa,baja_negativa
I am shut down and I can barely get up,baja,negativa,baja_negativa
I have no strength and everything is meaningless,baja,negativa,baja_negativa
I feel a heaviness in my chest today,baja,negativa,baja_negativa
I have a huge emptiness and I don't want to go out,baja,negativa,baja_negativa
I am down in the dumps and everything is meaningless,baja,negativa,baja_negativa
I am my body heavy and I see no point,baja,negativa,baja_negativa
I'm feeling down in the dumps and I see no point,baja,negativa,baja_negativa
I'm feeling blue completely,baja,negativa,baja_negativa
I am a huge emptiness and everything is meaningless,baja,negativa,baja_negativa
honestly I have no strength left,baja,negativa,baja_negativa
lately I have no energy even to speak,baja,negativa,baja_negativa
I'm feeling my body heavy and I see no point,baja,negativa,baja_negativa
I'm feeling down in the dumps and I don't want to go out,baja,negativa,baja_negativa
I'm feeling no strength and I want to cry,baja,negativa,baja_negativa
the truth is I have no strength left,baja,negativa,baja_negativa
I am no desire to do anything and I see no point,baja,negativa,baja_negativa
lately my mind is cloudy,baja,negativa,baja_negativa
my mind is cloudy at this moment,baja,negativa,baja_negativa
I feel down in the dumps and everything is meaningless,baja,negativa,baja_negativa
I am shut down and I see no point,baja,negativa,baja_negativa
I have shut down and I see no point,baja,negativa,baja_negativa
I'm feeling no desire to do anything and I want to cry,baja,negativa,baja_negativa
I feel no desire to do anything and everything is meaningless,baja,negativa,baja_negativa
I'm feeling a huge emptiness and I can barely get up,baja,negativa,baja_negativa
I feel tightness in my chest at this moment,baja,negativa,baja_negativa
I am no desire to do anything and I don't want to go out,baja,negativa,baja_negativa
literally I have no strength left,baja,negativa,baja_negativa
I have down in the dumps and everything is meaningless,baja,negativa,baja_negativa
I'm feeling blue absolutely,baja,negativa,baja_negativa
I feel my body heavy and I want to cry,baja,negativa,baja_negativa
I've hit rock bottom completely,baja,negativa,baja_negativa
I feel no desire to do anything and I don't want to go out,baja,negativa,baja_negativa
honestly I've hit rock bottom,baja,negativa,baja_negativa
I feel no strength and I see no point,baja,negativa,baja_negativa
I'm dragging myself around,baja,negativa,baja_negativa
I swear that I'm feeling blue,baja,negativa,baja_negativa
honestly I'm totally drained,baja,negativa,baja_negativa
I have no strength left completely,baja,negativa,baja_negativa
I have my body heavy and I want to cry,baja,negativa,baja_negativa
I'm feeling no strength and I see no point,baja,negativa,baja_negativa
honestly my mind is cloudy,baja,negativa,baja_negativa
honestly I'm dragging myself around,baja,negativa,baja_negativa
I have shut down and I want to cry,baja,negativa,baja_negativa
I'm totally drained absolutely,baja,negativa,baja_negativa
lately I'm dragging myself around,baja,negativa,baja_negativa
I have no strength and I don't want to go out,baja,negativa,baja_negativa
I feel a heaviness in my chest right now,baja,negativa,baja_negativa
I am a huge emptiness and I can barely get up,baja,negativa,baja_negativa
I'm feeling my body heavy and I want to cry,baja,negativa,baja_negativa
I'm absolutely shattered,baja,negativa,baja_negativa
I have no desire to do anything and everything is meaningless,baja,negativa,baja_negativa
I am shut down and everything is meaningless,baja,negativa,baja_negativa
I feel a heaviness in my chest just because,baja,negativa,baja_negativa
I feel shut down and I can barely get up,baja,negativa,baja_negativa
the truth is my mind is cloudy,baja,negativa,baja_negativa
I'm feeling down in the dumps and everything is meaningless,baja,negativa,baja_negativa
I have a huge emptiness and I see no point,baja,negativa,baja_negativa
I have no strength left,baja,negativa,baja_negativa
I'm feeling a huge emptiness and I don't want to go out,baja,negativa,baja_negativa
I swear that I'm totally drained,baja,negativa,baja_negativa
I feel a huge emptiness and I don't want to go out,baja,negativa,baja_negativa
lately I have no strength left,baja,negativa,baja_negativa
I am a huge emptiness and I want to cry,baja,negativa,baja_negativa
I'm dragging myself around at this moment,baja,negativa,baja_negativa
the truth is I'm totally drained,baja,negativa,baja_negativa
I swear that I feel like crawling into a hole,baja,negativa,baja_negativa
I am a huge emptiness and I don't want to go out,baja,negativa,baja_negativa
I feel shut down and I see no point,baja,negativa,baja_negativa
I feel my body heavy and I can barely get up,baja,negativa,baja_negativa
I have no desire to do anything and I want to cry,baja,negativa,baja_negativa
I have shut down and I don't want to go out,baja,negativa,baja_negativa
I feel my body heavy and I don't want to go out,baja,negativa,baja_negativa
I swear that I'm dragging myself around,baja,negativa,baja_negativa
I'm feeling no desire to do anything and I see no point,baja,negativa,baja_negativa
I feel tightness in my chest right now,baja,negativa,baja_negativa
literally I'm dragging myself around,baja,negativa,baja_negativa
literally I'm absolutely shattered,baja,negativa,baja_negativa
I'm absolutely shattered absolutely,baja,negativa,baja_negativa
honestly I feel like crawling into a hole,baja,negativa,baja_negativa
lately I'm absolutely shattered,baja,negativa,baja_negativa
I'm feeling shut down and I don't want to go out,baja,negativa,baja_negativa
I have no strength and I want to cry,baja,negativa,baja_negativa
I feel tightness in my chest today,baja,negativa,baja_negativa
honestly I'm feeling blue,baja,negativa,baja_negativa
I have no desire to do anything and I can barely get up,baja,negativa,baja_negativa
lately I feel tightness in my chest,baja,negativa,baja_negativa
literally my mind is cloudy,baja,negativa,baja_negativa
the truth is I'm feeling blue,baja,negativa,baja_negativa
I feel like crawling into a hole really,baja,negativa,baja_negativa
I swear that I feel tightness in my chest,baja,negativa,baja_negativa
lately I feel a heaviness in my chest,baja,negativa,baja_negativa
I have no desire to do anything and I don't want to go out,baja,negativa,baja_negativa
honestly I feel a heaviness in my chest,baja,negativa,baja_negativa
I feel a heaviness in my chest at this moment,baja,negativa,baja_negativa
I feel down in the dumps and I see no point,baja,negativa,baja_negativa
I'm feeling no desire to do anything and I can barely get up,baja,negativa,baja_negativa
I'm totally drained completely,baja,negativa,baja_negativa
I've hit rock bottom absolutely,baja,negativa,baja_negativa
lately I'm totally drained,baja,negativa,baja_negativa
I have a huge emptiness and I want to cry,baja,negativa,baja_negativa
I am no strength and I don't want to go out,baja,negativa,baja_negativa
I feel no desire to do anything and I can barely get up,baja,negativa,baja_negativa
I feel down in the dumps and I want to cry,baja,negativa,baja_negativa
I feel shut down and I don't want to go out,baja,negativa,baja_negativa
I am my body heavy and everything is meaningless,baja,negativa,baja_negativa
I'm absolutely shattered really,baja,negativa,baja_negativa
I have no energy even to speak,baja,negativa,baja_negativa
I'm feeling my body heavy and I can barely get up,baja,negativa,baja_negativa
I have no energy even to speak right now,baja,negativa,baja_negativa
lately I feel like crawling into a hole,baja,negativa,baja_negativa
I have no strength left really,baja,negativa,baja_negativa
I have no energy even to speak just because,baja,negativa,baja_negativa
I'm feeling my body heavy and I don't want to go out,baja,negativa,baja_negativa
I'm feeling a huge emptiness and I see no point,baja,negativa,baja_negativa
I have no strength and I can barely get up,baja,negativa,baja_negativa
the truth is I'm absolutely shattered,baja,negativa,baja_negativa
I am no strength and I see no point,baja,negativa,baja_negativa
I have no desire to do anything and I see no point,baja,negativa,baja_negativa
I'm feeling shut down and I want to cry,baja,negativa,baja_negativa
I feel shut down and everything is meaningless,baja,negativa,baja_negativa
I have my body heavy and I can barely get up,baja,negativa,baja_negativa
I feel a huge emptiness and I want to cry,baja,negativa,baja_negativa
I swear that my mind is cloudy,baja,negativa,baja_negativa
I'm feeling a huge emptiness and everything is meaningless,baja,negativa,baja_negativa
I'm feeling blue,baja,negativa,baja_negativa
I have my body heavy and I see no point,baja,negativa,baja_negativa
I feel a heaviness in my chest,baja,negativa,baja_negativa
I have no strength left absolutely,baja,negativa,baja_negativa
I am shut down and I don't want to go out,baja,negativa,baja_negativa
I swear that I've hit rock bottom,baja,negativa,baja_negativa
I'm feeling no strength and I can barely get up,baja,negativa,baja_negativa
I am my body heavy and I don't want to go out,baja,negativa,baja_negativa
I swear that I have no strength left,baja,negativa,baja_negativa
I swear that I feel a heaviness in my chest,baja,negativa,baja_negativa
I'm feeling shut down and I can barely get up,baja,negativa,baja_negativa
I feel no strength and I can barely get up,baja,negativa,baja_negativa
I'm feeling no strength and everything is meaningless,baja,negativa,baja_negativa
I am no strength and everything is meaningless,baja,negativa,baja_negativa
lately I'm feeling blue,baja,negativa,baja_negativa
honestly I have no energy even to speak,baja,negativa,baja_negativa
I'm absolutely shattered completely,baja,negativa,baja_negativa
I've hit rock bottom,baja,negativa,baja_negativa
I'm totally drained really,baja,negativa,baja_negativa
I'm feeling shut down and everything is meaningless,baja,negativa,baja_negativa
I feel my body heavy and I see no point,baja,negativa,baja_negativa
I feel shut down and I want to cry,baja,negativa,baja_negativa
I have a huge emptiness and everything is meaningless,baja,negativa,baja_negativa
I swear that I'm absolutely shattered,baja,negativa,baja_negativa
literally I've hit rock bottom,baja,negativa,baja_negativa
I feel breathing deeply and my mind is at peace,baja,positiva,baja_positiva
I feel serene and my mind is at peace,baja,positiva,baja_positiva
literally my body feels light,baja,positiva,baja_positiva
I feel very relaxed and my muscles are loose,baja,positiva,baja_positiva
I'm in zen mode really,baja,positiva,baja_positiva
I am calm and I'm enjoying the silence,baja,positiva,baja_positiva
I'm in my happy place,baja,positiva,baja_positiva
I'm feeling very relaxed and my mind is at peace,baja,positiva,baja_positiva
I'm feeling in harmony and my mind is at peace,baja,positiva,baja_positiva
I feel an immense calmness today,baja,positiva,baja_positiva
my breathing is slow and steady just because,baja,positiva,baja_positiva
I am serene and I'm enjoying the silence,baja,positiva,baja_positiva
I feel total peace at this moment,baja,positiva,baja_positiva
the truth is I feel total peace,baja,positiva,baja_positiva
I'm feeling calm and my mind is at peace,baja,positiva,baja_positiva
I swear that my breathing is slow and steady,baja,positiva,baja_positiva
I'm feeling in harmony and everything is flowing smoothly,baja,positiva,baja_positiva
I'm feeling in harmony and I'm enjoying the silence,baja,positiva,baja_positiva
literally I feel super chill,baja,positiva,baja_positiva
honestly I'm in zen mode,baja,positiva,baja_positiva
I'm completely centered,baja,positiva,baja_positiva
I am in harmony and I'm enjoying the silence,baja,positiva,baja_positiva
I am breathing deeply and my mind is at peace,baja,positiva,baja_positiva
my body feels light,baja,positiva,baja_positiva
I am very relaxed and I'm enjoying the silence,baja,positiva,baja_positiva
I'm feeling breathing deeply and my muscles are loose,baja,positiva,baja_positiva
I am in harmony and my mind is at peace,baja,positiva,baja_positiva
lately I'm in zen mode,baja,positiva,baja_positiva
I am at peace and my mind is at peace,baja,positiva,baja_positiva
honestly I'm completely centered,baja,positiva,baja_positiva
I am breathing deeply and I'm enjoying the silence,baja,positiva,baja_positiva
I feel serene and I'm enjoying the silence,baja,positiva,baja_positiva
the truth is I'm floating,baja,positiva,baja_positiva
I am calm and everything is flowing smoothly,baja,positiva,baja_positiva
I'm feeling breathing deeply and everything is flowing smoothly,baja,positiva,baja_positiva
I feel breathing deeply and I'm enjoying the silence,baja,positiva,baja_positiva
I feel like a new person really,baja,positiva,baja_positiva
I feel an immense calmness at this moment,baja,positiva,baja_positiva
I'm completely centered completely,baja,positiva,baja_positiva
I am at peace and my muscles are loose,baja,positiva,baja_positiva
I'm feeling calm and my muscles are loose,baja,positiva,baja_positiva
I swear that I'm in zen mode,baja,positiva,baja_positiva
the truth is I feel an immense calmness,baja,positiva,baja_positiva
lately I'm completely centered,baja,positiva,baja_positiva
the truth is my body feels light,baja,positiva,baja_positiva
I am calm and my muscles are loose,baja,positiva,baja_positiva
the truth is I'm completely centered,baja,positiva,baja_positiva
I feel super chill absolutely,baja,positiva,baja_positiva
I feel super chill,baja,positiva,baja_positiva
I'm floating,baja,positiva,baja_positiva
I feel in harmony and everything is flowing smoothly,baja,positiva,baja_positiva
literally I feel like a new person,baja,positiva,baja_positiva
I feel total peace today,baja,positiva,baja_positiva
honestly my breathing is slow and steady,baja,positiva,baja_positiva
I am in harmony and everything is flowing smoothly,baja,positiva,baja_positiva
lately I feel total peace,baja,positiva,baja_positiva
